ID;ID_Ocorrencia;Cidade;AeroPorto;Data;Hora;Falha_Ocorrencia;Modelo;Tipo_Motor;Fato_Contribuinte;Aspector;Ano
87125;87125;CE;JUAZEIRO DO NORTE;11/05/2025;04:20:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ERJ 190-400;NULL;Sem Informaçao;Sem Informaçao;2025
87124;87124;MG;UBERLÂNDIA;08/05/2025;14:00:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ATR-72-212A (600);***;Sem Informaçao;Sem Informaçao;2025
87123;87123;SP;GUARULHOS;09/05/2025;18:45:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A320-271N;NULL;Sem Informaçao;Sem Informaçao;2025
87122;87122;RS;SANTA MARIA;04/05/2025;14:45:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ATR-72-212A (600);TURBOÉLICE;Sem Informaçao;Sem Informaçao;2025
87121;87121;SP;SÃO JOSÉ DO RIO PRETO;10/05/2025;10:00:00;COLISÃO COM AVE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2025
87118;87118;DF;BRASÍLIA;07/05/2025;11:15:00;COLISÃO COM AVE;A320-214;NULL;Sem Informaçao;Sem Informaçao;2025
87117;87117;CE;FORTALEZA;19/04/2025;15:45:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2025
87116;87116;SP;GUARULHOS;05/05/2025;16:45:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2025
87115;87115;AL;MACEIÓ;25/04/2025;15:30:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2025
87114;87114;GO;GOIÂNIA;04/05/2025;18:30:00;OUTROS;GVII-G600;NULL;Sem Informaçao;Sem Informaçao;2025
87113;87113;RJ;RIO DE JANEIRO;18/04/2025;16:00:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;170B;PISTÃO;Sem Informaçao;Sem Informaçao;2025
87112;87112;RJ;RIO DE JANEIRO;05/05/2025;23:45:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;208B;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2025
87111;87111;PA;PARAUAPEBAS;05/05/2025;20:30:00;EXCURSÃO DE PISTA;210N;PISTÃO;Sem Informaçao;Sem Informaçao;2025
87110;87110;MA;SÃO LUÍS;05/05/2025;19:55:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;208;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2025
